Artist,Title,Year,Genre
Paul Whiteman,I don't want to lose you,1975,reggae
Pet Shop Boys,What Have I done to deserve this?,1987,pop
Pet Shop Boys,West End Girls,1985,pop
Peter and Paul Lewis,Ethiopian Land,1977,reggae
Peter Gabriel,Games Without Frontiers,1980,pop
Peter Harvey,Trace of Heartache,1964,60s
Petula Clark,Downtown,1964,60s
Philly Sound,TSOP,1974,pop
Pigbag,Pigbag,1985,pop
Pinkees,Danger Games,1980,pop
Pioneers,Long Shot Kick The Bucket,1969,reggae
polecats,john I'm only dancing,1981,pop
Police ,Can't stand losing you,1978,punk
Police ,Message in a bottle,1979,punk
Police ,Don't stand so close,1980,punk
Police ,Invisible Sun,1981,
Police ,Roxanne,1979,
pop tops,"oh lord, why lord",1967,pop
Pop Will Eat Itself,Can U Dig It,1989,pop
Pratt & McClain,Happy Days,1976,60s
prefab sprout,faron young,1985,pop
prefab sprout,when love breaks down,1985,pop
prefab sprout,King of Rock and Roll,1988,pop
prefab sprout,hey manhattan,1988,pop
Pretenders,Talk of the Town,1980,pop
Pretenders,Brass in Pocket,1979,pop
Pretenders,Sobbing,1979,
Primal Scream,Loaded,1990,pop
Primitives,Crash,1988,pop
Primitives,Way Behind,1988,pop
Prince,Let's Go Crazy,1984,pop
Prince,Kiss,1986,pop
Prince,1999,1982,pop
Prince,Sign O' The Times,1987,pop
Prince,Mountains,1986,pop
Prince,Raspberry Beret,1985,pop
Prince,Paisley Park,1985,pop
Prince,I could never take the place of your man,1987,pop
Prince Buster,one Step Beyond,1965,ska
Prince Far I,Red Sea,1979,reggae
Princesa,la dama se sconde,,spain
Prisoners,4 on 4 EP,1984,punk
Psychedelic Furs,Dumb Waiters (flexi sleeve),1981,pop
Psychedelic Furs,Pretty in Pink,1986,pop
Psychedelic Furs,heaven,1984,pop
Psychotic Reaction,Street Trash EP,2017,garage
public image,Flowers of Romance,1981,pop
public image,public image,1978,punk
public image,rise,1989,pop
pulp,this is hardcore,1998,pop
queen,don't stop me now,1978,
queen ,bohemian rhapsody,1975,
R.E.M,Shiny Happy People,1991,pop
Rachel Dadd,Strike our scythes,2014,pop
Rainbow,I surrender,1980,pop
Rainbow,since you been gonr,1979,rock
Real Thing ,Feel the Force,1978,disco
Real Thing ,Boogie Down (get funky),1979,disco
Red Guitars,Good Technology,1986,pop
regents,seventeen,1979,pop
REM,What's the frequency Kenneth?,1994,pop
Renegade Soundwave,Probably a Robbery,1989,pop
Revillos,Motorbike Beat,1980,punk
Rich Kids,Rich Kids,1978,punk
Ricky Nelson,Hello Marylou,1960,60s
Riders on the Storm,Doors,1971,pop
Right Said Fred,Deeply Dippy,1992,
Robert Johnson,Sweet Home Chicago,1936,blues
Robert Palmer,Addicted to Love,1979,pop
Robert Wyatt,Shipbuilding,1982,pop
rocket from the crypt,born in 69,1995,loud
Rockpile,I hear you knocking,1970,pop
Rod Stewart ,Maggie May,1971,60s
Rolling Stones,Money EP,1964,60s
Rolling Stones,Not Fade Away,1964,60s
Rolling Stones,It's all over now,1964,60s
Rolling Stones,Can't Get no Satisfaction,1965,60s
Rolling Stones,Last time,1965,60s
Rolling Stones,Brown Sugar,1971,60s
Rolling Stones,Going to a go go,1981,60s
Rolling Stones,Start Me Up,1981,60s
Rolling Stones,Under Cover,1983,60s
Rolling Stones,Miss You,1978,pop
Roman Holliday,Don't Try to stop it,1983,pop
Rose Royce,Car Wash,1976,disco
Roxy Music,Pyjamarama,1973,pop
Roxy Music,Jealous Guy,1981,pop
Roxy Music,Dance Away,1979,pop
Roxy Music,Same Old Scene,1980,pop
Roxy Music,Jealous Guy,1981,pop
Roxy Music,Angel Eyes,1979,pop
Roxy Music,Pyjamarama,1973,pop
Roxy Music,Oh Yeah,1980,
Roxy Music,Pyjamarama,1973,
Roxy Music,Over You,1980,
Roy Ellis,Mr Wang,1964,ska
Roy Orbison,I Drove All Night,1991,pop
Rozi Plain,Jog along,2014,pop
rubinoos,I think we're alone now,1977,pop
RUSH,spirit of radio,1980,pop
Ruts,West 1,1980,punk
Ruts,Babylon's Burning,1979,
Sade,Hang on to your love,1984,pop
Sade,Smooth Operator,1984,pop
Sade,Your Love is King,1984,pop
salt and pepa,Push It,1987,pop
salt and pepa,Whatta Man,1994,pop
Sam & Dave,Soul Man,1967,soul
Sam & Dave,Hold on I'm Coming,1966,soul
Sam Cooke,Twisting the night away ,1962,60s
Santana ,She's not there,1977,pop
Scott Walker,Jackie,1967,60s
scritti politti,sweetest girl,1981,pop
scritti politti,The word girl,1985,pop
scritti politti,Oh Patti,1988,pop
scritti politti,wood beez,1984,pop
scritti politti,absolute,1984,pop
scritti politti,asylums in jerusalem,1982,pop
secret affair,time for action,1979,pop
secret affair,my world,1980,pop
selecter,on my radio,1979,ska
senseless things,easy to smile ,1991,pop
senseless things,hold it down,1992,pop
senseless things,something,1995,pop
sex pistols,silly thing ,1979,punk
Shadows,man of mystery,1960,60s
Shadows,Midnight,1961,60s
Shadows,dance on,1962,60s
shadracks,tranquil salvation,2019,garage
shakespears sister,stay,1991,pop
shakespears sister,I don't care,1992,pop
Shamen,Phorever People,1992,pop
Shampoo,Trouble,1994,pop
Shanice,I love your smile,1991,pop
Sheila,Bang Bang EP,1965,60s
Sheila,Le Cinema,1966,60s
sigue sigue sputnik,21st century boy,1986,punk
sigue sigue sputnik,love missile,1986,punk
Simon & Garfunkel,America,1968,60s
Simon & Garfunkel,Mrs Robinson,1982,pop
Simple Minds,Glittering Prize,1982,pop
Simple Minds,Don't You Forget About Me,1985,pop
Simple Minds,Chelsea Girl,,
Sinead O Connor ,Mandinka,1987,pop
Siouxsie,Hong Kong Garden,1978,punk
Siouxsie,christine,1978,punk
Siouxsie,Happy House,1980,punk
Siouxsie - Creatures,Miss That Girl,1983,pop
sister sledge,Frankie,1985,pop
sister sledge,We are family,1984,disco
Sixpence None The Richer,There she goes,1999,pop
Skids,Yankee Dollar,1979,punk
Skids,Masquerade,1979,punk
Skids,into the valley,1979,punk
Slits,Typical Girls,1979,punk
sly and robbie,boops,1981,pop
Sly and The Family Stone,Running Away,1972,pop
Sly and The Family Stone,Dance to the music,1969,soul
Small Faces,Itchy Coo Park,1967,60s
Small Faces,Lazy Sunday,1966,60s
smiley culture,police officer,1984,reggae
Smiths,This charming man,1983,pop
Smiths,Ask,1986,pop
Smokey Robinson,Being with you,1981,disco
Soft Boys,Kingdom of Love,1980,pop
Soft Cell ,Tainted Love,1981,pop
Soft Cell ,Say Hello Wave Goodbye,1981,pop
Soho,Hippy Chick,1990,
Sonny and Cher,The Beat Goes On,1967,60s
sonzeira,Southern freez,,latin
sonzeira,southern freez (talking loud) ,2000,disco
Soul II Soul,Keep on Movin,1989,pop
Soul II Soul,Back to Life,1989,pop
soup dragons,whole wide world,1985,pop
soup dragons,mother universe,1990,pop
spandau ballet,to cut a long story,1984,pop
spandau ballet,chant no.1,1981,pop
sparks,number 1 song in heaven,1979,pop
sparks,never turn your back on mother earth,1974,pop
sparks,this town ain't big enough,1974,pop
Special AKA,Nelson Mandela,1984,ska
Specials,Do Nothing,1980,ska
specials,ghost town,1981,ska
specials,ghost town,1981,ska
spencer davis,Keep on running,1965,60s
spencer davis,Keep on running/Gimme,1965,rock
spencer davis,gimme some loving,1968,soul
Spin Doctors,2 Princes,1992,pop
Spizzenergi,Where's Captain Kirk?,1979,punk
splodgeness abounds,simon templar,1980,punk
squeeze,slap and tickle,1979,pop
squeeze,cool for cats,1979,pop
star jets,war stories,1979,pop
Steely Dan,Haitaian Divorce,1976,pop
Stephen Tin Tin Duffy,Kiss Me,1984,pop
Steve Harley,Come Up and See Me,1975,
steve miller,abracadabra,1982,pop
steve miller,abracadabra,1982,
stevie wonder,superstition,1972,pop
stevie wonder,more than adream,1967,Soul
stevie wonder,Living for the City,1973,Soul
stevie wonder,HE'S mister know it all,1973,Soul
Stingrays,Don't Break Down,1985,pop
Stone Roses,10 Storey Love Song,1995,pop
Stone Roses,She Bangs The Drums,1989,pop
Stooges,Search and Destroy,2005,rock
Strangelove,Time for the rest of your life,1994,pop
Stranglers,golden brown,1981,pop
Stranglers,Something Better Change,1977,punk
Stranglers,Peaches,1977,punk
stranglers,no more heroes,1977,punk
stranglers,walk on by,1978,punk
Stranglers,5 minutes,1978,punk
stranglers,who wants the world,1980,punk
Stranglers,Always The Sun,1990,punk
Strawberry Switchblade,Trees and Flowers,1983,pop
Strawberry Switchblade,Since yesterday,1984,
stray cats,runaway boys,1980,pop
stray cats,stray cat strut,1981,pop
stray cats,rock this town,1981,pop
Strypes,Get Into It,2015,
Style Council,Long Hot Summer,1983,pop
Style Council,Speak Like A Child,1983,pop
Style Council,Shout to the top,1984,pop
Style Council,Groovin',1984,pop
Style Council,Paris Match,,
Style Council,it didn't matter,1987,pop
Style Council,a solid bond in your heart,1983,pop
suede,so young,1993,pop
suede,metal mickey,1992,pop
suede ,filmstar,1997,pop
sugababes,overload,2000,pop
sugacubes,hit,1991,pop
Sugar,tilted,1993,pop
sugar,changes,1992,rock
Sugar Minnott,Ghetto-ology,1979,reggae
Supergrass,Alright,,
supersuckers,born with a tail,1995,loud
supersuckers,On the Couch,,rock
Supremes,Baby Love,1964,60s
Supremes,Stop in the name of love/Baby Love,1965,60s
Supremes,Stop in the name of love,1965,soul
Supremes,River Deep,1970,Soul
surfaris,wipe out,1965,60s
Susan Fassbender,Twilight Caf?,1980,pop
Suzi Chunk,Look Back & Laugh,2012,garage
suzi quatro,devil gate drive,1974,pop
Swansway,Soul Train,1984,pop
sweet,hell raiser,1976,pop
sweet,Ballroom Blitz,1973,pop
Sweet,Ballroom Blitz,1973,pop
swervedriver,Surf Twang,1991,rock
swing out sister,surrender,1987,pop
swing out sister,Breakout,1986,pop
swing out sister,Breakout,1986,
Swinging Blue Jeans,Hippy Shake,1965,60s
Sylvester,Mighty Real,1978,disco
Symarip,Skinhead Moonstomp,1965,ska
T Rex,children of the revolution,1972,pop
T Rex,Ride a White Swan,1970,pop
T Rex,Metal Guru,1972,pop
T Rex,Truck On ,1973,pop
T Rex,The Groover,1973,pop
T Rex,Debora,1968,pop
Talking Heads,Psycho Killer,1977,pop
Talking Heads,houses in motion,1979,pop
Talking Heads,Life During Wartime,1979,pop
Talking Heads,Once In a Lifetime,1980,pop
Talking Heads,road to nowhere,1985,pop
Talking Heads,And She Was,1985,
Talulah Gosh,Steaming Train,,pop
Talulah Gosh,Beatnik Boy,,pop
tanita tikaram,goo dtradition,1988,pop
teardrop explodes,reward,1981,pop
teardrop explodes,passionate friend,1981,pop
teardrop explodes,Treason ,1981,pop
tears for fears,mad world,1982,pop
tears for fears,Shout,1984,pop
Teenage Fanclub,What You Do To Me,1992,pop
Telephone,Dure Limite,1982,pop
Telephone,Cendrillon,1982,pop
telephone,anna,1978,punk
Temptations,Get Ready,1966,Soul
Ten cc,dreadlock holiday,1978,pop
Ten cc,things we do for love,1976,pop
Ten Thousand Maniacs,What's the matter here?,1987,pop
Ten Years After,Rock Your Mama,1968,60s
Tenpole Tudor,Swords of a 1000 men,1981,pop
Tenpole Tudor,Swords of a 1000 men,1981,pop
Tenpole Tudor,Throwing my baby out,1981,punk
Terence Trent Darby,Dance Little Sister,1987,pop
Terence Trent Darby,Wishing Well,1987,pop
Texas,I don't want a lover,1989,pop
The Branded ,Don't Turn Out the lights,2000,garage
The church,columbus,1985,rock
The Cult,Lil' Devil,1987,rock
The Cult,She Sells Sanctuary,1985,rock
The Dells,Hallelujah Baby,1969,soul
The Equals,Laurel and Hardy,1968,60s
The Foundations,Build me up buttercup,1968,60s
The Fountainhead,rhythm method,1986,pop
The Fountainhead,Feel it now,1986,pop
The Hives,Supply & Demand,2001,pop
The Hives,Main Offender,2002,pop
The Knack,My Sharona,1979,
The Lilac Time,You've got to Love,1998,pop
The Mourning After,You're on your own again,2015,garage
the nuthins,one step forward,1997,garage
The Passions,I'm in love with a german filmstar,1981,pop
the seeds,the other place,1966,psych
The Sires,High n Mighty,1996,garage
The Wildebeests,Feel the Pain EP,2017,garage
theatre of hate,westworld,1981,punk
Thee Exciters,EP,2004,garage
Thelma Houston,don't leave me this way,1976,disco
They Might Be Giants,Istanbul,1990,pop
Thin Lizzy,The boys are back in town,1976,pop
Thin Lizzy,China Town,1980,pop
third world,dancing on the floor,1981,disco
This is the kit,2 wooden spoons,2006,pop
Thompson Twins,Love on your side,1983,pop
Thompson Twins,You Take Me Up,1984,pop
Three Colours Red,60 Mile Smile,1997,pop
Three dog night,mama told me not to come,1970,pop
Tight Fit,fantasy island,1982,pop
Timbuk 3,Futures Bright,1986,pop
Timmy Thomas,Why Can't we live together,1972,pop
Tina Turner,River Deep,1966,60s
Tina Turner,Nutbush,1973,pop
Tiny Monroe,Cream Ep,1991,pop
Tom Petty,American Girl,1977,pop
tom robinson,Atmosphere,1983,pop
tom robinson,War Baby,1983,pop
tom robinson,2468 motorway,1977,punk
Tom Tom Club,Wordy Wrapping hood,1981,pop
Tom Tom Club,under the boardwalk,1982,
Tom Verlaine,One time at Sundown,1986,pop
Tom Verlaine,Cry Mercy Judge,1987,pop
Tom Verlaine,A Town Called Walker,1987,pop
Toni Basil,Mickey ,1981,pop
Toni Basil,Mickey (2),1981,pop
tonight,drummer man,1978,pop
tony christie,avenues And alleyways,1972,pop
Tornados,Telstar,1962,60s
tourists,good to be back home again,1979,pop
tourists,only want to be with you ,1979,punk
Tracy Chapman,Fast Car,1988,pop
Trammps,Down 3 Dark Streets,1974,funk
Transvision Vamp,If Looks Could Kill,1991,pop
Transvision Vamp,Revolution Baby,1988,pop
Transvision Vamp,I want your love,1988,pop
Transvision Vamp,Baby I don't Care,1989,pop
Trio,Da Da Da,1982,pop
Trip ,Birth EP,1990,pop
Tubes,Prime Time,1979,pop
Turtles,She'd Rather Be with Me,1967,60s
TV One,The 3rd Wave,1999,pop
Two Banks of Four,Speedys Auto Repair,1998,acid jazz
U2,New Years Day,1983,punk
U2,2 Hearts,1983,punk
U2,Two Hearts Beat As One,1983,pop
U2,Pride ,1984,
U2,Where the streets have no name,1987,
uk decay,for my country,1980,punk
UK subs,Stranglehold,1979,punk
UK subs,Tomorrow's Girls,1979,punk
Ultravox,Vienna,1981,pop
Undertones,Teenage kicks,1978,punk
Undertones,Here comes the summer,1979,punk
Undertones,You got my number,1979,punk
Undertones,Wednesday Week,1980,punk
Untouchables,Free Yourself,1984,pop
urusei yatsura,strategic hamlets,1997,pop
Vapors,Turning Japanese,1980,pop
Vapors,Turning Japanese (pic),1980,pop
Vapors,waiting for the weekend,1980,pop
Vapors,Jimmy Jones,1981,pop
Various ,NME EP,1986,pop
Various ,Sounds EP,1987,pop
Various ,Sounds EP2,1988,pop
Vaya Con Dios,Just a friend of mine,1987,pop
Ventures,Walk Don't Run,1960,60s
Voice of the Beehive,Don't call me baby,1988,pop
Wah ,Sinful,1986,pop
Wah ,Story of the Blues,,pop
Wah ,Come back,1984,pop
Wall of Voodoo,Mexican Radio,1983,pop
war,you got the power,1982,disco
war ,me and baby brother,1973,disco
Waterboys,Whole of the Moon,1991,pop
Weezer,Buddy Holly,1995,pop
Wendy & Lisa,Strung Out,1990,pop
westworld,sonic boom boy,1987,pop
westworld,sonic boom boy,1987,pop
Whispers,It's a love thing,1980,disco
who,substitute,1966,60s
Who,substitute,1966,60s
who,Magic Bus,1968,60s
who,summertime blues,1970,60s
who,won't get fooled agaiun,1971,60s
Who,Five Fifteen,1973,60s
Who,Who are you,1978,60s
who,summertime blues,1970,pop
who,squeeze box,1975,pop
Who?s In The Kitchen,Condom Nation,1987,pop
wild cherry,play that funky music,1976,pop
Wilson Pickett,Midnight Hour,1965,soul
Wilson Pickett,Everybody Needs Somebody,1967,soul
wolfgang press,mama told me not to come,1991,pop
Wom A2,Evasion,1985,?
Wonderstuff,Dizzy,1991,pop
Woodentops,Well Well,1985,
World of twist,She's a rainbow,1980,pop
world series,try it out,1983,funk
XTC,Nigel,1979,pop
XTC,Sergeant Rock,1980,pop
XTC,senses working overtime,1982,
Yardbirds,Shapes of Things,1966,60s
Yazoo,Don't Go,1985,pop
Yazoo,Nobody's Diary,1983,pop
Yazz,Only way is up,1985,pop
Young Disciples,Apparently Nothing,1991,pop
Young Rascals ,Groovin',1967,soul
ZZ Top,Gimme All Your Loving,1983,rock
